user_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
457360398,0,1,51.46,2,2,1,Loyal
469200473,0,1,615.56,2,2,2,Champion
477366703,0,1,40.39,2,2,1,Loyal
502469352,0,1,772.19,2,2,2,Champion
504429960,0,1,275.66,2,2,2,Champion
512364387,0,1,161.93,2,2,1,Loyal
512365496,0,1,1415.48,2,2,2,Champion
512365722,0,1,1413.16,2,2,2,Champion
512366272,0,1,179.67,2,2,1,Loyal
512367528,0,1,56.6,2,2,1,Loyal
512370660,0,1,118.33,2,2,1,Loyal
512371767,0,1,962.02,2,2,2,Champion
512372458,0,1,257.38,2,2,2,Champion
512372746,0,1,388.68,2,2,2,Champion
512373231,0,1,253.31,2,2,1,Loyal
512374444,0,1,513.81,2,2,2,Champion
512375245,0,1,376.85,2,2,2,Champion
512375543,0,1,130.73,2,2,1,Loyal
512375719,0,1,174.75,2,2,1,Loyal
512376264,0,3,594.2,2,2,2,Champion
512377624,0,1,90.35,2,2,1,Loyal
512378897,0,1,278.23,2,2,2,Champion
512379753,0,1,254.26,2,2,1,Loyal
512379865,0,4,4342.16,2,2,2,Champion
512381263,0,1,975.57,2,2,2,Champion
512381662,0,2,573.72,2,2,2,Champion
512382536,0,3,1392.18,2,2,2,Champion
512382808,0,1,286.35,2,2,2,Champion
512382879,0,1,174.45,2,2,1,Loyal
512383304,0,1,17.99,2,2,1,Loyal
512383347,0,2,174.94,2,2,1,Loyal
512383542,0,1,308.86,2,2,2,Champion
512384348,0,1,739.81,2,2,2,Champion
512384407,0,1,253.31,2,2,1,Loyal
512386040,0,1,258.18,2,2,2,Champion
512386086,0,6,3968.5299999999997,2,2,2,Champion
512388143,0,1,130.7,2,2,1,Loyal
512388375,0,1,66.61,2,2,1,Loyal
512390516,0,1,16.71,2,2,1,Loyal
512395614,0,1,257.38,2,2,2,Champion
512396251,0,1,161.93,2,2,1,Loyal
512396356,0,1,1415.48,2,2,2,Champion
512397411,0,1,247.08,2,2,1,Loyal
512397505,0,1,111.79,2,2,1,Loyal
512398680,0,1,248.89,2,2,1,Loyal
512400636,0,1,514.76,2,2,2,Champion
512400731,0,1,51.46,2,2,1,Loyal
512403922,0,1,470.77,2,2,2,Champion
512405445,0,1,150.7,2,2,1,Loyal
512406501,0,1,22.39,2,2,1,Loyal
512407916,0,1,154.36,2,2,1,Loyal
512409624,0,2,1476.78,2,2,2,Champion
512410097,0,1,794.59,2,2,2,Champion
512410187,0,2,136.33,2,2,1,Loyal
512411061,0,1,154.41,2,2,1,Loyal
512411193,0,1,185.7,2,2,1,Loyal
512412072,0,1,175.83,2,2,1,Loyal
512412240,0,1,738.61,2,2,2,Champion
512412385,0,1,571.56,2,2,2,Champion
512412404,0,1,37.81,2,2,1,Loyal
512413161,0,2,2830.96,2,2,2,Champion
512415231,0,1,203.35,2,2,1,Loyal
512416118,0,1,102.61,2,2,1,Loyal
512416959,0,1,810.81,2,2,2,Champion
512420304,0,2,612.0699999999999,2,2,2,Champion
512421900,0,1,77.1,2,2,1,Loyal
512422698,0,1,64.32,2,2,1,Loyal
512429451,0,1,174.75,2,2,1,Loyal
512430293,0,1,128.68,2,2,1,Loyal
512430531,0,1,134.41,2,2,1,Loyal
512430537,0,1,96.53,2,2,1,Loyal
512432743,0,1,282.89,2,2,2,Champion
512434100,0,1,20.34,2,2,1,Loyal
512434925,0,1,746.29,2,2,2,Champion
512435480,0,1,48.88,2,2,1,Loyal
512438548,0,1,19.92,2,2,1,Loyal
512438969,0,1,975.57,2,2,2,Champion
512438972,0,1,296.62,2,2,2,Champion
512441949,0,1,91.12,2,2,1,Loyal
512444423,0,1,95.21,2,2,1,Loyal
512444876,0,1,161.93,2,2,1,Loyal
512446281,0,1,161.93,2,2,1,Loyal
512446893,0,1,100.12,2,2,1,Loyal
512448158,0,1,33.2,2,2,1,Loyal
512449423,0,4,2779.2,2,2,2,Champion
512452768,0,2,50.13,2,2,1,Loyal
512454070,0,1,248.62,2,2,1,Loyal
512455885,0,1,130.62,2,2,1,Loyal
512458001,0,1,1184.05,2,2,2,Champion
512460611,0,1,95.21,2,2,1,Loyal
512461237,0,1,746.48,2,2,2,Champion
512461742,0,1,642.95,2,2,2,Champion
512463653,0,8,2126.98,2,2,2,Champion
512465881,0,1,733.81,2,2,2,Champion
512466905,0,1,45.02,2,2,1,Loyal
512468343,0,1,174.46,2,2,1,Loyal
512470332,0,1,286.86,2,2,2,Champion
512470389,0,1,17.48,2,2,1,Loyal
512470550,0,1,64.08,2,2,1,Loyal
512472121,0,1,154.42,2,2,1,Loyal
512472253,0,1,157.02,2,2,1,Loyal
512478069,0,5,501.95,2,2,2,Champion
512483681,0,1,975.56,2,2,2,Champion
512484189,0,1,177.44,2,2,1,Loyal
512486232,0,1,90.35,2,2,1,Loyal
512486566,0,1,120.46,2,2,1,Loyal
512488102,0,1,10.27,2,2,1,Loyal
512494095,0,1,174.75,2,2,1,Loyal
512495126,0,1,130.7,2,2,1,Loyal
512496329,0,1,174.45,2,2,1,Loyal
512496820,0,1,85.81,2,2,1,Loyal
512496917,0,1,33.44,2,2,1,Loyal
512496956,0,1,102.73,2,2,1,Loyal
512502641,0,2,388.9,2,2,2,Champion
